x,y
2.4623115577889454,38.59690437237071
2.5628140703517595,43.112797136359845
2.6633165829145735,47.9797292058637
2.7638190954773876,53.20988239599557
2.8643216080402016,58.815438521868735
2.9648241206030157,64.80857939859652
3.0653266331658298,71.20148684129218
3.165829145728644,78.00634266506904
3.266331658291458,85.23532868504036
3.366834170854272,92.90062671631945
3.467336683417086,101.01441857401961
3.5678391959799,109.58888607325412
3.668341708542714,118.63621102913629
3.768844221105528,128.16857525677938
3.8693467336683423,138.19816057129674
3.9698492462311563,148.73714878780157
4.07035175879397,159.79772172140727
4.170854271356784,171.39206118722709
4.2713567839195985,183.53234900037427
4.371859296482413,196.23076697596218
4.472361809045227,209.49949692910405
4.572864321608041,223.35072067491322
4.673366834170855,237.79662002850296
4.773869346733669,252.8493768049866
4.874371859296483,268.5211728194774
4.974874371859297,284.8241898870886
5.075376884422111,301.7706098229335
5.175879396984925,319.3726144421256
5.276381909547739,337.64238555977795
5.376884422110553,356.59210499100396
5.477386934673367,376.23395455091685
5.577889447236181,396.58011605462997
5.678391959798995,417.6427713172566
5.778894472361809,439.4341021539099
5.8793969849246235,461.9662903797035
5.9798994974874375,485.25151780975034
6.080402010050253,509.3019662591643
6.180904522613066,534.1298175430574
6.2814070351758815,559.7472534765446
6.381909547738694,586.1664558747375
6.48241206030151,613.3996065527513
6.582914572864322,641.458887325697
6.683417085427138,670.3564800086904
6.78391959798995,700.1045664168423
6.884422110552766,730.7153283652682
6.984924623115578,762.2009476690796
7.085427135678394,794.5736061433915
7.185929648241206,827.8454856033153
7.286432160804022,862.0287678639663
7.386934673366834,897.1356347404558
7.48743718592965,933.1782680478991
7.5879396984924625,970.1688496014073
7.688442211055278,1008.1195612160961
7.788944723618091,1047.0425847070765
7.8894472361809065,1086.9501018894637
7.989949748743719,1127.854294578369
8.090452261306535,1169.7673445889084
8.190954773869347,1212.701433736192
8.291457286432163,1256.6687438353365
8.391959798994975,1301.6814567014512
8.49246231155779,1347.7517541496538
8.592964824120603,1394.8918179950535
8.693467336683419,1443.113830052767
8.793969849246231,1492.4299721379048
8.894472361809047,1542.852426065583
8.99497487437186,1594.3933736509116
9.095477386934675,1647.0649967090076
9.195979899497488,1700.8794770549803
9.296482412060303,1755.8489965039469
9.396984924623116,1811.985736871017
9.497487437185931,1869.3018799713077
9.597989949748744,1927.8096076199286
9.69849246231156,1987.5211016319965
9.798994974874372,2048.4485438226206
9.899497487437188,2110.604116006919
10.0,2174.0
